Siphonophore species	Prey type	Literature source	Location	Sampling method	Number of colonies examined
Apolemia uvaria	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	2
Athorybia rosacea	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	5
Cordagalma ordinatum	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	11
Nanomia sp	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	53
Abyla trigona	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	2
Bassia bassensis	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	60
Chelophyes appendiculata	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	14
Diphyes dispar	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	30
Hippopodius hippopus	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	5
Sphaeronectes koellikeri	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	52
Sulculeolaria quadrivalvis	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	16
Sulculeolaria biloba	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	2
Sulculeolaria chuni	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	10
Sulculeolaria monoica	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	4
Sulculeolaria turgida	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	3
Muggiaea atlantica	Crustacean diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	117
Sulculeolaria turgida	Copepod diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	3
Sulculeolaria turgida	Chaetognath diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	3
Sulculeolaria quadrivalvis	Copepod diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	16
Sulculeolaria quadrivalvis	Amphipod diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	16
Sulculeolaria quadrivalvis	Mollusc diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	16
Sulculeolaria quadrivalvis	Fish diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	116
Sulculeolaria quadrivalvis	Chaetognath diet	Purcell JE. Dietary composition and diel feeding patterns of epipelagic siphonophores. Marine Biology. 1981 Nov 1;65(1):83-90.	"1977- 1980 at Gulf of California 111° 15’W; 25°34’N), Southern California 80-320km off San Diego, San Clemente Basin, Santa Catalina Islands, Sargasso Sea."	"SCUBA Diving, visual gut content inspection"	16
